,mass,redshift,x,y,z,radius,temp,t_id,id,d_id,is_sf,is_sf_first,mm_prog_id,time,dm,dt,dmdt,dyn_heating
0,5122388.0,15.0,0.346450001001358,0.2622399926185608,0.1691499948501587,0.0037310002371668,4653.528380849929,495782.0,495782.0,-1.0,1,0,432939.0,253.74185883223876,1214925.5,22.07396242885136,55038.84968165273,3.27978686604778e-28
1,3907462.5,16.001020431518555,0.3461900055408478,0.2618800103664398,0.168840005993843,0.0034090001136064,4128.055686080383,495782.0,432939.0,495782.0,1,0,367343.0,231.6678964033874,1038806.0,18.987911605947204,54708.80745382423,3.791179565448758e-28
2,2868656.5,16.998559951782227,0.3464600145816803,0.2614400088787079,0.1685799956321716,0.0030750001315027,3556.521793028844,495782.0,367343.0,432939.0,1,0,293666.0,212.6799847974402,643283.5,16.5981957081423,38756.23057537725,3.1517723104880415e-28
3,2225373.0,18.00057029724121,0.3455600142478943,0.2611599862575531,0.1686500012874603,0.0028250000905245,3169.8082249933445,495782.0,293666.0,367343.0,1,0,229041.0,196.0817890892979,1143731.25,14.511235540830228,78816.94475855527,7.364040151553863e-28
4,1081641.75,19.0,0.3451600074768066,0.2602100074291229,0.1689600050449371,0.0022219999227672,2062.591864239993,495782.0,229041.0,293666.0,1,1,174021.0,181.57055354846767,457014.9375,12.807605791256492,35683.089013560624,4.463326731751582e-28
5,624626.8125,19.99958038330078,0.3450399935245514,0.2590300142765045,0.1687700003385543,0.0018500001169741,1501.8129704476935,495782.0,174021.0,229041.0,0,0,128853.0,168.76294775721118,264925.34375,11.350404355654462,23340.608444316913,3.681067486252853e-28
6,359701.46875,20.997360229492188,0.3444499969482422,0.2578800022602081,0.1690700054168701,0.0015390000771731,1088.8998328560567,495782.0,128853.0,174021.0,0,0,92974.0,157.41254340155672,164477.59375,10.170670546238483,16171.755146550326,3.2112140514074957e-28
7,195223.875,21.99907875061035,0.34375,0.2571499943733215,0.1691499948501587,0.0012560001341626,757.5064070241683,495782.0,92974.0,128853.0,0,0,64036.0,147.24187285531823,62776.125,9.097331349510483,6900.498903272101,1.7563062677179447e-28
8,132447.75,22.99808120727539,0.3433699905872345,0.2564899921417236,0.1690800040960312,0.0011030001332983,610.2744753184387,495782.0,64036.0,92974.0,0,0,41588.0,138.14454150580775,36895.515625,8.220422904162973,4488.274636857847,1.3565206923698263e-28
9,95552.234375,24.0,0.3430700004100799,0.2560099959373474,0.1689900010824203,0.0009890000801533,511.3891130906604,495782.0,41588.0,64036.0,0,0,24552.0,129.92411860164478,26447.7578125,7.430117858677974,3559.534090244673,1.2495975531724556e-28
10,69104.4765625,25.001039505004883,0.3427000045776367,0.2554799914360046,0.1689099967479705,0.0008880000677891,428.5266906008966,495782.0,24552.0,41588.0,0,0,-1.0,122.4940007429668,,,,0.0
